A,B,C,D,E,F,G,H,I,class
0.156393798,0.50605449,0.184313725,0.200377284,0.038834759,0.174272482,0.122009651,0.233069075,0.155812225,0
0.084167594,0.620080727,0.620915033,0.097247689,0.017732999,0.15087453,0.144228282,0.109790794,0.099309722,0
0.166436517,0.636226034,0.243137255,0.234871366,0.067759659,0.266496061,0.163091523,0.266558891,0.19187117,0
0.096340848,0.544399596,0.581699346,0.100848361,0.018462446,0.152308127,0.143462226,0.114636294,0.108174887,0
0.106367437,0.398082745,0.307189542,0.094825385,0.013790093,0.118619995,0.097606526,0.11850696,0.10983071,0
0.06402573,0.409182644,0.475816993,0.068864393,0.009665777,0.108276016,0.07319351,0.093144955,0.07454519,0
0.136077123,0.580221998,0.546405229,0.158022009,0.046527907,0.26310203,0.178715686,0.175697648,0.172584961,0
0.118650352,0.59889001,0.614379085,0.146315851,0.03461773,0.208277296,0.166041682,0.164601685,0.15633401,0
0.113830182,0.882946519,0.681045752,0.226258787,0.060501794,0.245750822,0.139103324,0.259422285,0.13838983,0
0.147200593,0.621089808,0.219607843,0.191271342,0.055897142,0.265771939,0.160931443,0.219418452,0.172300694,0
0.124501356,0.578203835,0.237908497,0.097005683,0.02757335,0.238580084,0.17009518,0.100527433,0.144480092,0
0.097865176,0.773965691,0.596078431,0.146674458,0.040103134,0.241891379,0.157978665,0.166779796,0.125057419,0
0.141886839,0.629667003,0.375163399,0.224417925,0.04624471,0.187406621,0.132872139,0.258132985,0.150232654,0
0.106414535,1,0.505882353,0.21655469,0.057252496,0.242090638,0.145647059,0.24903259,0.127207858,0
0.073044123,0.513622603,0.436601307,0.074210503,0.017023876,0.182827532,0.101336284,0.09290125,0.094566061,0
0.070995493,0.561553986,1,0.167871636,0.03136763,0.165192369,0.067262177,0.203750037,0.115649547,0
0.147200593,0.521190716,0.488888889,0.11979465,0.01711247,0.12013273,0.206933429,0.118572767,0.150785805,0
0.040044494,0.120080727,0.300653595,0.010639816,0.000467624,0.020595639,0.014714172,0.036988699,0.03324867,1
0.052651094,0.510595358,0.277124183,0.041440452,0.006682855,0.111113834,0.079842954,0.056695867,0.060397402,1
0.092568204,0.316851665,0.294117647,0.046829344,0.005709141,0.085934532,0.083439773,0.062879895,0.092998362,1
0.05201853,0.079717457,0.249673203,0.046845565,0.001797501,0.024652237,0.004724175,0.078104546,0.050029587,1
0.054505006,0.160948537,0.095424837,0.03595036,0.003339688,0.060465138,0.022909346,0.065918426,0.055321777,1
0.035965888,0.073158426,0.34379085,0.021717897,0.000862248,0.022294504,0.006322788,0.050876638,0.033574693,1
0.093437152,0.149344097,0.282352941,0.066977593,0.005523925,0.061228575,0.045766098,0.097115201,0.089140224,1
0.088476089,0.230070636,0.262745098,0.06265161,0.00745606,0.089389343,0.049191001,0.090385067,0.093864385,1
0.021254154,0.475782038,0.430065359,0.016832305,0.00155642,0.04671706,0.053535923,0.030418829,0.022581855,1
0.073527771,0.281533804,0.190849673,0.043081816,0.005001701,0.079978752,0.049230027,0.067872967,0.076053399,1
0.015202076,0.312815338,0.210457516,0,0,0.012240076,0.023736272,0.017052106,0.012770659,1
0.027808676,0.458123108,0.522875817,0.020975884,0.002402466,0.062692627,0.064884395,0.030826692,0.03280677,1
0.034111976,0.36629667,0.508496732,0.017067094,0.001479031,0.044129669,0.063193397,0.022853787,0.038825557,1
0.054505006,0.100403633,0.150326797,0.049108715,0.000881369,0.009634544,0.002647304,0.080641757,0.038713709,1
0.087693195,0.095358224,0.180392157,0.066087902,0.00149449,0.013169965,0.02769433,0.098173783,0.065959869,1
0.049314053,0.324419778,0.501960784,0.027594973,0.000954382,0.020269547,0.065488947,0.042234436,0.043291393,1
0.05524657,0.270938446,0.183006536,0.01810371,0.002427407,0.069027343,0.041044372,0.03863432,0.056169548,1
0.025775231,0.331987891,0.196078431,0.017145153,0.000698308,0.021690079,0.026518288,0.042001515,0.018023935,1
0.006674082,0.467709384,0.294117647,0.004588561,0.000424518,0.026564011,0.032822434,0.020117757,0.006057007,1
0.099145615,0.266902119,0.124183007,0.092236213,0.007096461,0.059631185,0.054652094,0.123603115,0.086952933,1
0.058315729,0.192734612,0.185620915,0.037526515,0.0011859,0.019191389,0.023123505,0.066168134,0.044611299,1
0.163757638,0.148335015,0.128104575,0.077736057,0.006415135,0.062804233,0.050086179,0.1072525,0.154560197,1
0.063772116,0.38950555,0.381699346,0.044846286,0.006576395,0.102925149,0.076801039,0.062503116,0.07309128,1
0.066119119,0.635721493,0.94379085,0.132436615,0.030013735,0.196986986,0.089728527,0.16231552,0.098829773,1
0.083055247,0.37184662,0.282352941,0.05419193,0.009140803,0.124613549,0.082341432,0.072992161,0.091745893,1
0.044493882,0.322906155,0.273202614,0.012884409,0.000725797,0.026816043,0.052521537,0.022511005,0.046003971,1
0.018168335,0.443491423,0.550326797,0.013960498,0.000137194,0.007149254,0.054447125,0.023444404,0.020071769,1
0.07415647,0.147325933,0.19869281,0.002797701,0.0001839,0.018132687,0.032378086,0.015178399,0.070958291,1
0.034853541,0.347628658,0.262745098,0.013233441,0.001944962,0.065529209,0.044435069,0.029419552,0.03853553,1
0.034853541,0.347628658,0.262745098,0.013233441,0.001944962,0.065529209,0.044435069,0.029419552,0.03853553,1
0.042051634,0.304742684,0.252287582,0.032527432,0.001204169,0.022381729,0.034619676,0.058542847,0.032614458,1
0.027808676,0.396569122,0.309803922,0.019776849,0.002316257,0.062648268,0.041931209,0.040639225,0.030380307,1
0.030404153,0.397073663,0.283660131,0.019394387,0.001670327,0.045991934,0.044126645,0.039268424,0.03074038,1
0.106785317,0.132189707,0.145098039,0.015455536,0.00111647,0.035788741,0.033080279,0.037871463,0.099587194,1
0.147942158,0.152875883,0.176470588,0.032182376,0.004379601,0.086624971,0.059239736,0.051451055,0.151197958,1
0.027067112,0.224016145,0.267973856,0.00090138,5.32033E-05,0.014005842,0.023959283,0.019084508,0.024178894,1
0.015572859,0.304238143,0.330718954,0.001505348,6.89715E-05,0.014095635,0.028809645,0.015630578,0.01354175,1
0.00783416,0.345610494,0.328104575,0.000905316,4.53905E-05,0.013593823,0.024510299,0.018624559,0.003577039,1
0,0.421291625,0.670588235,0.003934821,4.4907E-05,0.010455001,0.033529046,0.017610808,0,1
0.601071522,0.11654894,0.08496732,0.368347229,0.017106472,0.036689905,0.148222921,0.413911406,0.492281072,2
0.475589441,0.231079717,0.291503268,0.175161398,0.049966172,0.257216101,0.315612407,0.154554034,0.504989415,2
0.363829083,0.176589304,0.124183007,0.165023294,0.016441399,0.084408451,0.136862001,0.191770772,0.338838194,2
0.20258413,0.274974773,0.159477124,0.179598719,0.018771891,0.089565492,0.099452506,0.212914743,0.18001499,2
0.517982944,0.12764884,0.218300654,0.3405356,0.026885081,0.068273973,0.164616009,0.381086177,0.436996052,2
0.247311828,0.084517035,0.128741485,0.148853175,0.001580557,0.002349277,0.040299704,0.184889109,0.191160019,2
0.218380434,0.039354188,0.28627451,0.163853272,0.001340774,0,0.037387948,0.20107317,0.169337711,2
0.503800646,0.082240161,0.216993464,0.356582276,0.031555387,0.077729981,0.115064578,0.402206769,0.470435694,2
0.516772731,0.264379415,0.278431373,0.594588994,0.063078771,0.096610072,0.234316527,0.648868716,0.380031111,2
0.43295021,0.192230071,0.247058824,0.513228446,0.020311571,0.03021977,0.142042755,0.567823729,0.277892838,2
0.531275766,0.219979818,0.132026144,0.591785494,0.061599798,0.094607783,0.207043273,0.64999622,0.387062372,2
0.740452354,0.143289606,0.039215686,0.355275967,0.095007698,0.252468712,0.275456974,0.395113927,0.702860213,3
0.629217649,0.063067608,0.203921569,0.269605637,0.024859394,0.080256324,0.139341848,0.306669569,0.583559984,3
0.740452354,0.315842583,0.831372549,0.412824846,0.204123444,0.477470696,1,0.124093046,0.843003546,3
0.579587981,0,0.233628195,0.051047806,0.007636059,0.10851506,0.102506004,0.068760405,0.585076002,3
0.684508029,0.113916477,0.15507908,0.144361685,0.018013015,0.106243866,0.218360961,0.148029525,0.655356564,3
0.647756767,0.192982491,0.254259743,0.224157104,0.074782255,0.308403453,0.355257451,0.208741481,0.646559485,3
0.833147942,0.199798184,0.632679739,0.474846495,0.158753547,0.321735609,0.657743476,0.441309703,0.841641966,3
0.629217649,0.230070636,0.508496732,0.328815582,0.085724003,0.244969013,0.490189349,0.303464008,0.638144988,3
0.666295884,0.121594349,0.337254902,0.242356651,0.042492776,0.159086832,0.30455755,0.247419642,0.649277236,3
0.647756767,0.176084763,0.546405229,0.292724372,0.04916321,0.153798547,0.468948193,0.262067841,0.643381496,3
0.573600297,0.101917255,0.205228758,0.244088936,0.032993907,0.120817903,0.171141104,0.275010726,0.533298346,3
1,0.204339051,0.469281046,0.539964513,0.17956664,0.321403009,0.678797591,0.51711693,1,3
0.825673021,0.155398587,0.785620915,0.342601875,0.145052499,0.404066001,0.766369385,0.183059466,0.924178511,3
0.85168706,0.207366297,0.537254902,0.552210896,0.217125271,0.381941471,0.59182698,0.552230997,0.838068446,3
0.703374119,0.27346115,0.321568627,0.479572689,0.22944489,0.464459439,0.458087897,0.494294634,0.708496006,3
0.555061179,0.172048436,0,0.399787727,0.072157057,0.168441017,0.223679091,0.447287134,0.487224369,3
0.814608825,0.094349142,0.380392157,0.158842082,0.028759044,0.158987385,0.398763499,0.059637603,0.849909892,3
0.92584353,0.166498486,0.215686275,0.695373673,0.228056511,0.319152047,0.341376518,0.748498742,0.873299812,3
